2024-04-19 23:33:36 +0300 ('127.0.0.1', 35998) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:33:40 +0300 ('127.0.0.1', 36014) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:35:37 +0300 ('127.0.0.1', 56146) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:35:39 +0300 ('127.0.0.1', 56160) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:36:42 +0300 ('127.0.0.1', 33938) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:36:45 +0300 ('127.0.0.1', 54194) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:36:49 +0300 ('127.0.0.1', 54202) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:38:06 +0300 ('127.0.0.1', 59830) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:42:42 +0300 ('127.0.0.1', 50700) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:42:48 +0300 ('127.0.0.1', 41300) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:43:09 +0300 ('127.0.0.1', 47842) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:43:44 +0300 ('127.0.0.1', 39196) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:44:43 +0300 ('127.0.0.1', 51312) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:45:29 +0300 ('127.0.0.1', 60118) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:46:41 +0300 ('127.0.0.1', 41160) -> UDP://167.172.59.39:53 [167.172.59.39]
2024-04-19 23:47:27 +0300 ('127.0.0.1', 53102) -> UDP://167.172.59.39:80 [167.172.59.39]
2024-04-19 23:47:55 +0300 ('127.0.0.1', 52704) -> UDP://167.172.59.39:80 [167.172.59.39]
2024-04-19 23:48:15 +0300 ('127.0.0.1', 56904) -> UDP://167.172.59.39:80 [167.172.59.39]
2024-04-19 23:48:20 +0300 ('127.0.0.1', 56920) -> UDP://167.172.59.39:80 [167.172.59.39]
2024-04-19 23:48:31 +0300 ('127.0.0.1', 60882) -> UDP://167.172.59.39:80 [167.172.59.39]
2024-04-19 23:48:50 +0300 ('127.0.0.1', 36730) -> UDP://167.172.59.39:80 [167.172.59.39]
2024-04-19 23:50:19 +0300 ('127.0.0.1', 35924) -> UDP://167.172.59.39:80 [167.172.59.39]
2024-04-19 23:53:32 +0300 ('127.0.0.1', 52048) -> UDP://167.172.59.39:80 [167.172.59.39]
2024-04-19 23:53:46 +0300 ('127.0.0.1', 55772) -> UDP://167.172.59.39:80 [167.172.59.39]
2024-04-19 23:54:03 +0300 ('127.0.0.1', 54508) -> UDP://167.172.59.39:80 [167.172.59.39]
2024-04-19 23:54:37 +0300 ('127.0.0.1', 46882) -> UDP://167.172.59.39:80 [167.172.59.39]
2024-04-19 23:55:13 +0300 ('127.0.0.1', 54626) -> UDP://167.172.59.39:80 [167.172.59.39]
2024-04-19 23:59:36 +0300 ('127.0.0.1', 52758) -> UDP://167.172.59.39:80 [167.172.59.39]
2024-04-20 00:03:04 +0300 ('127.0.0.1', 35124) -> UDP://167.172.59.39:80 [167.172.59.39]
2024-04-20 00:03:32 +0300 ('127.0.0.1', 44452) -> UDP://167.172.59.39:80 [167.172.59.39]
2024-04-20 00:05:19 +0300 ('127.0.0.1', 43334) -> UDP://167.172.59.39:80 [167.172.59.39]
2024-04-20 00:05:44 +0300 ('127.0.0.1', 40262) -> UDP://167.172.59.39:80 [167.172.59.39]
2024-04-20 00:15:18 +0300 ('127.0.0.1', 51192) -> UDP://167.172.59.39:80 [167.172.59.39]
2024-04-20 00:15:45 +0300 ('127.0.0.1', 48846) -> UDP://167.172.59.39:80 [167.172.59.39]
2024-04-20 00:15:51 +0300 ('127.0.0.1', 48852) -> UDP://167.172.59.39:80 [167.172.59.39]
2024-04-20 00:16:16 +0300 ('127.0.0.1', 46262) -> UDP://167.172.59.39:80 [167.172.59.39]
2024-04-20 00:16:25 +0300 ('127.0.0.1', 46266) -> UDP://8.8.8.8:53 [8.8.8.8]
2024-04-20 00:16:30 +0300 ('127.0.0.1', 48110) -> UDP://dns.google:53 [8.8.4.4]
